TABLE,COLUMN
AFRU,IDAUR
AFRU,IDAUE
AFRU,ZCODE
AFRU,LOART
AFRU,QUALF
AFRU,ANZMA
AFRU,LOGRP
AFRU,GMNGA
AFRU,LMNGA
AFRU,XMNGA
AFRU,GMEIN
AFRU,MEINH
AFRU,GRUND
AFRU,PERNR
AFRU,ISDD
AFRU,ISDZ
AFRU,IERD
AFRU,IERZ
AFRU,ISBD
AFRU,ISBZ
AFRU,IEBD
AFRU,IEBZ
AFRU,ISAD
AFRU,ISAZ
AFRU,IEDD
AFRU,IEDZ
AFRU,PEDD
AFRU,PEDZ
AFRU,WABLNR
AFRU,WEBLNR
AFRU,AUERU
AFRU,AUSOR
AFRU,STNDR
AFRU,MANUR
AFRU,MEILR
AFRU,AUFPL
AFRU,APLZL
AFRU,AUFNR
AFRU,APLFL
AFRU,VORNR
AFRU,SUMNR
AFRU,OFM01
AFRU,OFE01
AFRU,LEK01
AFRU,OFM02
AFRU,OFE02
AFRU,LEK02
AFRU,OFM03
AFRU,OFE03
AFRU,LEK03
AFRU,OFM04
AFRU,OFE04
AFRU,LEK04
AFRU,OFM05
AFRU,OFE05
AFRU,LEK05
AFRU,OFM06
AFRU,OFE06
AFRU,LEK06
AFRU,OFMNW
AFRU,OFMNE
AFRU,LEKNW
AFRU,ODAUR
AFRU,ODAUE
AFRU,STOKZ
AFRU,STZHL
AFRU,SMENG
AFRU,RUECK_MST
AFRU,RMZHL_MST
AFRU,PDSNR
AFRU,KAPID
AFRU,SPLIT
AFRU,ZAUSW
AFRU,ORIND
AFRU,ORIGF
AFRU,CANUM
AFRU,BELNR_IST
AFRU,BELNR_UMB
AFRU,RMNGA
AFRU,CATSBELNR
AFRU,SATZA
AFRU,ERZET
AFRU,CATSPRICE
AFRU,CATSTCURR
AFRU,CATSPEINH
AFRU,BEMOT
AFRU,IPRZ1
AFRU,IPRE1
AFRU,IPRK1
AFRU,EXNAM
AFRU,EXERD
AFRU,EXERZ
AFRU,PRZ01
AFRU,OPRZ1
AFRU,OPRE1
AFRU,SKOKRS
AFRU,SKOSTL
AFRU,NODAT
AFRU,ISMNU
AFRU,OFMNU
AFRU,PACKNO
AFRU,EXTID
AFRU,SCHGRUP
AFRU,KAPTPROG
AFRU,ZZNOTIF
AFRU,OBMAT
AFRU,OBCHA
AFRU,LICHA
AFRU,MYEAR
AFRU,ME_SFCID
AFRU,ME_2ND_CONF_QTY
AFRU,ROLE_ID
AFRU,UCMAT
AFRU,UCCHA
AFRU,WTY_IND
AFVU,MANDT
AFVU,AUFPL
AFVU,APLZL
AFVU,SLWID
AFVU,USR00
AFVU,USR01
AFVU,USR02
AFVU,USR03
AFVU,USR04
AFVU,USE04
AFVU,USR05
AFVU,USE05
AFVU,USR06
AFVU,USE06
AFVU,USR07
AFVU,USE07
AFVU,USR08
AFVU,USR09
AFVU,USR10
AFVU,USR11
AFVU,VNAME
AFVU,RECID
AFVU,ETYPE
AFVU,JV_OTYPE
AFVU,JV_JIBCL
AFVU,JV_JIBSA
AFVU,JV_OCO
AFVU,SPARAMETER1
AFVU,SPARAMETER2
AFVU,SPARAMETER3
AFVU,/MRSS/ID_PROFILE
AFVU,/MRSS/PROF_KEY
AFVU,/MRSS/PROF_GUID
AFVU,/MRSS/ACT_TYPE
AFVU,/MRSS/ORDER_PROB
AFVU,/MRSS/INIT_DONE
AFVU,/MRSS/DATACHANGE
AFVU,/MRSS/DEM_COUNT
AFVU,/MRSS/SUPERV_CNT
AFVU,/MRSS/RULE_ID
AFVU,/MRSS/SALES_ORG
AFVU,/MRSS/REFF_RCNT
AFVU,/MRSS/REFF_E_BEG
AFVU,/MRSS/REFF_E_END
AFVU,/MRSS/REFF_L_BEG
AFVU,/MRSS/REFF_L_END
AFVU,/MRSS/RELEVANT
AFVU,/MRSS/TEAM_PLAN
AFVU,/MRSS/SINGL_RES
AFVU,/MRSS/TO_BEGDAT
AFVU,/MRSS/TO_BEGTIM
AFVU,/MRSS/TO_ENDDAT
AFVU,/MRSS/TO_ENDTIM
AFVU,/MRSS/TO_DURAT
AFVU,/MRSS/TO_DUNIT
AFVU,/MRSS/TO_DISTAN
AFVU,/MRSS/TO_MANUAL
AFVU,/MRSS/FR_BEGDAT
AFVU,/MRSS/FR_BEGTIM
AFVU,/MRSS/FR_ENDDAT
AFVU,/MRSS/FR_ENDTIM
AFVU,/MRSS/FR_DURAT
AFVU,/MRSS/FR_DUNIT
AFVU,/MRSS/FR_DISTAN
AFVU,/MRSS/FR_MANUAL
AFVU,ILART_OP
AFVU,FERC_IND
ASMD,MANDT
ASMD,ASNUM
ASMD,ERDAT
ASMD,ERNAM
ASMD,AEDAT
ASMD,AENAM
ASMD,LVORM
ASMD,MATKL
